id,vendor,product_name,units,brand,current_price,price_per_unit,price_in_dollars
2329006,Metro,Original Milk Chocolate Mini Fondue,85g,Chocolats Favoris,5.99,$7.05 /100g,7.05
2329024,Metro,"Milk Chocolate Bar, Aero",97g,Nestlé,2/$5.50,$2.84 /100g,2.84
2329026,Metro,Milk Chocolate Covered Wafers With Milky Hazelnut Fi...,3x43g,Kinder Bueno,2/$9.50,$3.68 /100g,3.68
2329027,Metro,"Milk Chocolate Bar, Lindor",38g,Lindt,3/$5.50,$4.82 /100g,4.82
2329031,Metro,Creamy Milk Chocolate Bar With Whole Almonds,100g,Hershey's,2/$6.00,$3.00 /100g,3.0
2329034,Metro,Creamy Milk Chocolate Bar,100g,Hershey's,2/$6.00,$3.00 /100g,3.0
2329043,Metro,"Crunchy Caramel Milk Chocolate Bar, Excellence",100g,Lindt,2/$8.00,$4.00 /100g,4.0
2329114,Metro,"Hazelnut Milk Chocolate Bar, Dairy Milk",200g,Cadbury,2/$11.00,$2.75 /100g,2.75
2329126,Metro,"Milk Chocolate Bar With Rum, Raisins, And Hazelnuts",100g,Ritter Sport,3.99,$3.99 /100g,3.99
2329152,Metro,"Milk Chocolate Bar, Dairy Milk",200g,Cadbury,2/$11.00,$2.75 /100g,2.75
2329155,Metro,"Chocolatey Indulgence Milk Chocolate Bar, Dairy Milk",100g,Cadbury,2/$6.00,$3.00 /100g,3.0
2329202,Metro,Milk Chocolate And Peanut Butter Stuffed With Reese'...,163g,Reese's,6.29,$3.86 /100g,3.86
2329208,Metro,Salted Caramel Milk Chocolate Mini Fondue,85g,Chocolats Favoris,5.99,$7.05 /100g,7.05
2329231,Metro,Creamy Milk Chocolate Bar,200g,Whittaker's,6.99,$3.50 /100g,3.5
2329241,Metro,"Milk Chocolate Flavoured Cookies, Digestive",300g,Mc Vities,4.49,$1.50 /100g,1.5
2329242,Metro,Classic Milk Cookies,350g,Purity,6.99,$2.00 /100g,2.0
2329293,Metro,"Milk Chocolate Candies, Minis",165g,M&M's,2/$11.00,$3.33 /100g,3.33
2329339,Metro,Milk Chocolate With Butter Biscuit And Cocoa Creme,100g,Ritter Sport,3.99,$3.99 /100g,3.99
2329427,Metro,"Milk Caramel & Sea Salt Chocolate Bar, Lindor",100g,Lindt,4.49,$4.49 /100g,4.49
2329428,Metro,Swiss Milk Chocolate Bar,300g,Irrésistible,6.99,$2.33 /100kg,2.33
2329447,Metro,Caramilk Chocolate Chip Cookies,253g,Chips Ahoy!,2.44,$0.96 /100g,0.96
2329469,Metro,Honey & Almond Nougat Chocolate Milk Fondue,400g,Irrésistible,6.49,$1.62 /100g,1.62
